Month,Year,Region,Volume,Type,LogVolume
Jun,2016,SanFrancisco,3220012.4,conventional,6.50785754413099
Jul,2016,Portland,3221626.6,conventional,6.50807520245284
Sep,2016,WestTexNewMexico,3223633.19,conventional,6.50834561854808
Feb,2015,BaltimoreWashington,3239515.1,conventional,6.51048000861578
Jul,2015,WestTexNewMexico,3249256.41,conventional,6.51178398436874
Mar,2016,Chicago,3269264.89,conventional,6.51445011042578
May,2017,Portland,3270170.44,conventional,6.51457038850814
May,2017,Denver,3271939.4,conventional,6.5148052514512
May,2019,Baltimore/Washington,3272164,conventional,6.51483506227011
Apr,2016,Chicago,3275601.6,conventional,6.51529107457701
Oct,2016,Denver,3279448.03,conventional,6.51580075295019
Mar,2015,Denver,3283403.22,conventional,6.51632421975887
Jun,2015,Chicago,3283566.38,conventional,6.51634580033316
Feb,2015,Denver,3285165.04,conventional,6.51655719251401
Feb,2019,Boston,3285359.28,conventional,6.51658287002652
Jan,2015,SanFrancisco,3291516.4,conventional,6.51739602330832
Nov,2016,Houston,3293753.45,conventional,6.51769108745307
Mar,2018,MiamiFtLauderdale,3297802.1,conventional,6.51822459022398
Jul,2015,Chicago,3297861.26,conventional,6.5182323810587
Jan,2017,MiamiFtLauderdale,3301401.91,conventional,6.51869839820797
May,2017,Chicago,3313944.53,conventional,6.52034523476632
Jun,2017,Chicago,3314718.42,conventional,6.52044664168976
Apr,2016,BaltimoreWashington,3317564.87,conventional,6.52081942359604
Jul,2015,BaltimoreWashington,3320350.81,conventional,6.52118397129392
Jun,2016,Denver,3323437.4,conventional,6.52158750285121
Feb,2019,Atlanta,3325801.98,conventional,6.52189638753129
Oct,2017,BaltimoreWashington,3326362.26,conventional,6.52196954462847
Mar,2016,BaltimoreWashington,3327148.38,conventional,6.52207216942256
Oct,2016,WestTexNewMexico,3335460.36,conventional,6.52315578368278
Jan,2016,WestTexNewMexico,3340969.4,conventional,6.52387249794522
May,2017,BaltimoreWashington,3359257.04,conventional,6.52624323598894
Feb,2015,Chicago,3362296.6,conventional,6.5266360214359
Aug,2015,Denver,3365340.88,conventional,6.52702906107264
May,2015,Denver,3367200.59,conventional,6.52726898883694
Jan,2019,Atlanta,3367993.33,conventional,6.52737122274832
Oct,2015,PhoenixTucson,3377821.16,conventional,6.5286366519605
Nov,2016,TotalUS,3383615.9,organic,6.5293810570921
Sep,2016,SanFrancisco,3386959.1,conventional,6.52980995225385
Jun,2016,BaltimoreWashington,3392485.9,conventional,6.53051805130158
Jul,2017,BaltimoreWashington,3393259.44,conventional,6.53061706596782
